ïagno;rbd;dgv_rbd;nom_rbd;let_rbd;num_rbd;cod_com_rbd;nom_com_rbd;cod_depe;rural_rbd;ens_01;ens_02;ens_03;ens_04;ens_05;ens_06;ens_07;ens_08;ens_09
2004;7250;8;"ESCUELA RURAL VALLE MANTILHUE BAJO""""";G;314;10512;RIO BUENO;2;1;10;110;;;;;;;
2004;7251;6;"ESCUELA RURAL LA VICTORIA""""";G;315;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7252;4;"ESCUELA RURAL MANTILHUE ALTO""""";G;316;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7253;2;"ESCUELA RURAL CURRALHUE GRANDE""""";G;317;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7254;0;"ESCUELA RURAL LOS COPIHUES""""";G;318;10512;RIO BUENO;2;1;110;160;;;;;;;
2004;7255;9;"ESCUELA RURAL RUCATAYO""""";G;319;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7256;7;"ESCUELA RURAL FOLILCO""""";G;320;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7257;5;"ESCUELA RURAL FUTAHUENTE""""";G;324;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7258;3;"ESCUELA RURAL NOLGUEHUE""""";G;325;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7259;1;"ESCUELA RURAL COCULE""""";G;328;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7260;5;"ESCUELA RURAL CHAMPULLI""""";G;329;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7261;3;"ESCUELA RURAL CHIRRE""""";G;330;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7262;1;"ESCUELA RURAL PISU-PISUE""""";G;331;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7266;4;"ESCUELA RURAL TRAPI""""";G;336;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7267;2;"ESCUELA RURAL FORRAHUE""""";G;337;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7268;0;"ESCUELA RURAL CURRALHUE CHICO""""";G;338;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7270;2;"ESCUELA RURAL TRAFUN""""";G;340;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7273;7;"ESCUELA RURAL EL ARRAYAN""""";G;343;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7274;5;"ESCUELA RURAL LA GRUTA""""";G;345;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7275;3;"ESCUELA RURAL BRAMADERO""""";G;346;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7276;1;"COLEGIO SANTA CRUZ""""";[NULL];0;10512;RIO BUENO;3;0;10;110;310;;;;;;
2004;7279;6;"ESCUELA PARTICULAR N.270 LA AGUADA""""";[NULL];270;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7282;6;"ESCUELA PARTICULAR N.100 NUEVA LUMACO""""";[NULL];100;10512;RIO BUENO;3;1;110;360;;;;;;;
2004;7283;4;"ESCUELA PARTICULAR N.101 RUCATAYO""""";[NULL];101;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7284;2;"ESCUELA PARTICULAR N.102 NUEVA PINDACO""""";[NULL];102;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7285;0;"ESCUELA PARTICULAR N.103 BOQUIAL""""";[NULL];103;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7286;9;"ESCUELA PARTICULAR N.104 LOS CASTAÃOS""""";[NULL];104;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7287;7;"ESCUELA PARTICULAR N.105 FRUTILLAR""""";[NULL];105;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7288;5;"ESCUELA PARTICULAR N.106 PLAYA GRANDE""""";[NULL];106;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7289;3;"ESCUELA PARTICULAR N.107 TRAPI""""";[NULL];107;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7290;7;"ESCUELA PARTICULAR N.108 TREHUACO""""";[NULL];108;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7291;5;"ESCUELA PARTICULAR N.109 MANTILHUE""""";[NULL];109;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7292;3;"ESCUELA PARTICULAR N.111 NUEVA ESPERANZ""";[NULL];111;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7295;8;"ESCUELA PARTICULAR N.113 PORVENIR""""";[NULL];113;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7296;6;"ESCUELA PARTICULAR N.114 LOS AZADORES""""";[NULL];114;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7297;4;"ESCUELA RURAL SANTA ISABEL""""";[NULL];115;10512;RIO BUENO;2;1;110;;;;;;;;
2004;7298;2;"ESCUELA PARTICULAR N.256 EL RADAL""""";[NULL];256;10512;RIO BUENO;3;1;110;;;;;;;;
2004;7299;0;"LICEO ANTONIO VARAS""""";B;15;10505;LAGO RANCO;2;0;10;110;310;;;;;;
2004;7300;8;"ESCUELA RURAL IGNAO""""";F;355;10505;LAGO RANCO;2;1;10;110;212;;;;;;
2004;7301;6;"ESCUELA RURAL ILIHUE""""";G;310;10505;LAGO RANCO;2;1;110;;;;;;;;
2004;7302;4;"ESCUELA RURAL PITREÃO""""";G;311;10505;LAGO RANCO;2;1;110;;;;;;;;
2004;7303;2;"ESCUELA RURAL RIÃINAHUE""""";G;312;10505;LAGO RANCO;2;1;10;110;;;;;;;
2004;7304;0;"ESCUELA RURAL CALCURRUPE""""";G;313;10505;LAGO RANCO;2;1;110;;;;;;;;
2004;7305;9;"ESCUELA RURAL ILLAHUAPI""""";G;350;10505;LAGO RANCO;2;1;110;;;;;;;;
2004;7306;7;"ESCUELA RURAL QUILLIN""""";G;351;10505;LAGO RANCO;2;1;110;;;;;;;;
2004;7307;5;"ESCUELA RURAL ENSENADA""""";G;353;10505;LAGO RANCO;2;1;110;;;;;;;;
2004;7308;3;"ESCUELA RURAL LA JUNTA""""";G;354;10505;LAGO RANCO;2;1;110;;;;;;;;
2004;7309;1;"ESCUELA RURAL PITRIUCO""""";G;358;10505;LAGO RANCO;2;1;110;;;;;;;;
2004;7310;5;"ESCUELA RURAL RIÃINAHUE ALTO""""";G;360;10505;LAGO RANCO;2;1;110;;;;;;;;
2004;7311;3;"ESCUELA PARTICULAR N.277 AUQUINCO""""";[NULL];277;10505;LAGO RANCO;3;1;110;;;;;;;;
2004;7312;1;"ESCUELA PARTICULAR N.121 CARRAN""""";[NULL];121;10505;LAGO RANCO;3;1;10;110;;;;;;;
2004;7314;8;"ESCUELA PARTICULAR N.120 LOS GUINDOS""""";[NULL];120;10505;LAGO RANCO;3;1;110;;;;;;;;
2004;7315;6;"ESCUELA PARTICULAR N.119 RUPUMEICA""""";[NULL];119;10505;LAGO RANCO;3;1;110;;;;;;;;
2004;7316;4;"ESCUELA PARTICULAR N.122 POCURA""""";[NULL];122;10505;LAGO RANCO;3;1;110;160;;;;;;;
2004;7318;0;"ESCUELA PARTICULAR N.124 HUEIMEN""""";[NULL];124;10505;LAGO RANCO;3;1;110;;;;;;;;
2004;7319;9;"ESCUELA PARTICULAR N.117 ILIHUE""""";[NULL];117;10505;LAGO RANCO;3;1;110;;;;;;;;
